"filename", "language", "Vue", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\czcfiles\code\vue-app\src\views\forum\components\commentItemList.vue", "Vue", 100, 0, 0, 0, 0, 0, 0, 2, 2, 104
"d:\czcfiles\code\vue-app\src\views\forum\components\commentList.vue", "Vue", 136, 0, 0, 0, 0, 0, 0, 0, 5, 141
"d:\czcfiles\code\vue-app\src\views\forum\components\commentPost.vue", "Vue", 154, 0, 0, 0, 0, 0, 0, 1, 2, 157
"d:\czcfiles\code\vue-app\src\views\forum\components\dataList.vue", "Vue", 82, 0, 0, 0, 0, 0, 0, 0, 3, 85
"d:\czcfiles\code\vue-app\src\views\forum\index.vue", "Vue", 102, 0, 0, 0, 0, 0, 0, 0, 3, 105
"d:\czcfiles\code\vue-app\src\views\home\index.vue", "Vue", 230, 0, 0, 0, 0, 0, 0, 49, 8, 287
"d:\czcfiles\code\vue-app\src\views\login\index.vue", "Vue", 200, 0, 0, 0, 0, 0, 0, 0, 11, 211
"d:\czcfiles\code\vue-app\src\views\movie\all\index.vue", "Vue", 237, 0, 0, 0, 0, 0, 0, 18, 12, 267
"d:\czcfiles\code\vue-app\src\views\movie\components\movieComent.vue", "Vue", 145, 0, 0, 0, 0, 0, 0, 22, 5, 172
"d:\czcfiles\code\vue-app\src\views\movie\components\movieInfo.vue", "Vue", 450, 0, 0, 0, 0, 0, 0, 28, 23, 501
"d:\czcfiles\code\vue-app\src\views\movie\components\movieRecomende.vue", "Vue", 120, 0, 0, 0, 0, 0, 0, 9, 7, 136
"d:\czcfiles\code\vue-app\src\views\movie\index.vue", "Vue", 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\czcfiles\code\vue-app\src\views\movie\odlIndex.vue", "Vue", 168, 0, 0, 0, 0, 0, 0, 0, 23, 191
"d:\czcfiles\code\vue-app\src\views\movie\oldInfo.vue", "Vue", 84, 0, 0, 0, 0, 0, 0, 0, 12, 96
